intent,content
HOME,With over 20 years of technological and operational expertise in self-service kiosks for indoor and outdoor environments
HOME,Barrla Systems has developed a wide range of financial services kiosks starting from a Single Function Table Top Kiosk to a rich Featured Multi-Function Kiosks.
HOME,Now Barrla has put all this experience of dealing with banks to IoT devices and networks resulting in a highly scalable and reliable Barrla IoT Portal.
ABOUT US,Barrla Systems provides leading self-service technology solutions and is committed for the excellence in Customer Management & Support.
ABOUT US,"with a sound financial base and professional management, Barrla Systems always strives to deliver state of the art Quality Products exceeding customer expectations."
ABOUT US,Users & Roles are defined centrally and can be applied to Service level management modules.
ABOUT US,Terminal level maintenance and EOD operations can be managed centrally.
WHY US,"Barrla Systems covers a wide range of web based, fully integrated kiosk apps that provide services for banks and financial institutions."
WHY US,"Barrla kiosks are enabled with one or more electronic devices, which can support a wide range of banking transactions."
WHY US,"Barrla Kiosks are easy to use, accessible and cost-effective and can connect to secured networks as well IoT networks."
SOLUTIONS,Control your devices through simple voice commands.
SOLUTIONS,Barrla Kiosks are managed through the Kiosks Terminals Management Portal or KTM portal.
SOLUTIONS,The KTM provides complete end-to-end solution with a decoupled architecture and can manage & host multi tenancy services centrally and provides accessibility via the assisted and non assisted terminals.
SOLUTIONS,"Barrla Systems Management application software allows users to register & manage all kiosks terminals, Configure Services, manage languages & deployment of Advertising screens on the terminals via Cloud."
SOLUTIONS,The statuses of terminals can also be changed [Shutdown / Restart / Power off & On] from the Cloud.
SOLUTIONS,Terminal / Device Statuses are reported via various notifications (like eMail / SMS / Dashboard etc) based on the customized Alarms.
SOLUTIONS,The Monitoring application is scalable and can monitor other terminals that provide information via XFS-SNMP protocol.
SOLUTIONS,Various reports can be configured & shared that can be viewed by respective reporting heads.
SOLUTIONS,Barrla Systems Monitoring application software has a REAL TIME REPORTING dashboard that always keeps track of all registered terminal's statuses from the Kiosks Portal Cloud 24/7.
SOLUTIONS,The rise of the Internet and advances in telecommunication.
SOLUTIONS,"The Internet of Things is where every Thing is trackable, identifiable and connected. BSPL solutions makes hosting and publishing devices on the Internet both Simple and Easy."
SOLUTIONS,"Drawing on many years of experiences gained from hosting Kiosks and financial devices for banks,"
ITMSP,"Modernize your employees experience thru a digitally connected workspace,"
ITMSP,unlock and discover new ways of working.
CLIENTS,"Ongoing basis, and continuously monitor and evaluate their progress as they grow."
CLIENTS,We provide self-servicing solutions for various Banks of all sizes around the world.
CLIENTS,Below are some of the Banks we take pride in calling our clients.
CLIENTS,they can be sure that their money is always put to the best use.
CLIENTS,We are committed to building long lasting relationships with all of our Clients.
CLIENTS,All our solutions involve a cost/benefit analysis in partnership with our clients
SERVICE LOCATIONS,We deliver advanced high quality Technologies @ prices that are competitive and well supported on a worldwide basis.
SERVICE LOCATIONS,"Quality First, we strive to keep our solutions and products Simple and Defect free."
SUPPORT,"Barrla Systems provides Professional Services & Support,"
SUPPORT,these Service Providers are diverse.
SUPPORT,They speak many languages and are strategically located to ensure that we can support you whenever you need help.
SUPPORT,Like our customers
SUPPORT,which strongly contributes to its reputation of World Class Services delivered by highly skilled professionals.
SUPPORT,"As the self-servicing industry need grows, so does ours."
SUPPORT,"In order to meet the support needs of our growing customer base,"
SUPPORT,we have also engaged with a selected group of trusted Support Service Providers.
CONTACT US,Landline : +91 44 24981112 info@barrlasystems.com
CONTACT US,"Tamil Nadu, India."
CONTACT US,"#2,P.S Sivasami Salai, Mylapore, Chennai - 600 004,"
CONTACT US,Barrla Systems Pvt Ltd.
NEWS & EVENTS,New Year Celebration - 2019.
NEWS & EVENTS,Barrla Systems Achieves ISO 9001:2015 Certification.
NEWS & EVENTS,New Year Celebration - 2018.
NEWS & EVENTS,Barrla Systems has bagged an order from City Union Bank.
NEWS & EVENTS,Barrla Systems successfully crosses 500 locations Pan India
WHY US, IoT can substantially lower communications and infrastructural costs for banks and businesses
WHY US,allow them to serve their customers across the globe.
SOLUTIONS,BSPL is able to provide solutions to host the Internet of Things devices by offering secured
SOLUTIONS,cost effective systems to private and Government organizations across the Globe.
SOLUTIONS, The statuses of terminals can also be changed [Shutdown / Restart / Power off & On] from the Cloud.
ABOUT US,"Our employees?strengths lie in our professional marketing, sales & support teams who are well trained & experienced."
ABOUT US,Communicating with Terminals
ABOUT US,. SSL certificates can be initiated from Central location for each active terminal.
ABOUT US,"Registering, Enabling or disabling the terminals, devices and services can be initiated from the central location for terminal or location wise."
ABOUT US, Service provider Applications in a controlled
ABOUT US,secured manner Ability to schedule application patches
ABOUT US, terminal configuration downloads to terminals OLTP - Status monitoring with periodical heartbeat
ABOUT US,"checking of terminals up to device level ?with SNMP reporting Extensive trace loggings are enabled at terminal, device, service and transaction levels Extensive reports with dynamical filter selections"
ABOUT US, which are available along with Service application level shared reports.
ABOUT US," Various kinds of dynamic alarms can be set to inform the Terminal, Device"
ABOUT US,"Service level statuses via SMS, emails or Message boards"
SOLUTIONS,"This is a web-based, full-featured Terminal Management and Monitoring portal."
NEWS & EVENTS,Barrla Systems has successfully completed POC for Aadhaar Seeding to CUB.
SOLUTIONS,software services led to the possibilities of connecting every object or thing.
